age,dependents,employment_status,employment_years,monthly_income,monthly_expenses,credit_score,existing_loans,existing_emi,loan_amount,loan_term_months,interest_rate,property_value,savings_balance,missed_payments_last_year,bankruptcies,dti_ratio,requested_emi,total_emi_burden,savings_ratio,loan_to_income_ratio,approved
59,0,salaried,2.2,3429.0,2915.0,786,0,0.0,67200.0,48,11.6,0.0,21413.0,0,0,0.8501,1756.46,0.5122,0.1499,1.6331,1
49,1,salaried,4.4,9138.0,2923.0,850,3,2320.0,500000.0,36,8.1,853800.0,7878.0,0,0,0.5738,15691.26,1.971,0.4262,4.5597,1
35,3,salaried,3.8,3292.0,1631.0,624,2,1531.0,121000.0,60,7.6,289000.0,15193.0,5,0,0.9605,2430.35,1.2033,0.0395,3.063,0
63,1,salaried,2.7,3493.0,1509.0,543,3,1927.0,179400.0,360,6.4,311800.0,4258.0,0,0,0.9837,1122.16,0.8729,0.0163,4.28,0
28,3,salaried,4.1,3929.0,2263.0,738,0,0.0,29500.0,48,9.9,0.0,5136.0,0,0,0.576,746.78,0.1901,0.424,0.6257,1
41,0,business_owner,4.4,10615.0,5909.0,736,1,2492.0,500000.0,84,14.8,701500.0,41046.0,0,0,0.7914,9592.36,1.1384,0.2086,3.9253,1
59,3,salaried,11.3,3671.0,1856.0,698,1,463.0,84300.0,84,14.9,0.0,1761.0,5,0,0.6317,1621.99,0.568,0.3683,1.9136,1
39,1,salaried,7.1,4867.0,2798.0,552,2,1881.0,46300.0,120,11.2,0.0,3843.0,4,0,0.9614,643.04,0.5186,0.0386,0.7928,0
43,0,salaried,3.9,5178.0,3309.0,686,3,4471.0,67000.0,36,7.7,0.0,12441.0,0,0,1.5,2090.28,1.2671,-0.5,1.0783,0
31,2,salaried,14.6,3038.0,1057.0,773,1,803.0,71000.0,48,16.4,0.0,2662.0,0,0,0.6122,2026.73,0.9314,0.3878,1.9476,1
31,0,retired,9.0,4335.0,1791.0,632,1,760.0,53800.0,36,11.8,0.0,11227.0,1,0,0.5885,1781.8,0.5863,0.4115,1.0342,1
44,0,business_owner,1.0,15924.0,10545.0,646,0,0.0,152800.0,60,11.0,307800.0,71439.0,0,0,0.6622,3322.24,0.2086,0.3378,0.7996,1
56,1,self_employed,1.5,5154.0,2972.0,541,0,0.0,63300.0,60,8.4,0.0,23809.0,3,0,0.5766,1295.65,0.2514,0.4234,1.0235,0
60,2,self_employed,1.0,4737.0,3253.0,716,0,0.0,252500.0,60,6.9,572600.0,33121.0,0,0,0.6867,4987.9,1.053,0.3133,4.442,1
44,4,self_employed,2.8,9220.0,2742.0,562,2,985.0,244300.0,24,11.0,463700.0,9995.0,0,0,0.4042,11386.29,1.3418,0.5958,2.2081,0
23,3,salaried,3.9,4241.0,2115.0,741,1,248.0,124300.0,48,8.7,298300.0,14341.0,0,0,0.5572,3075.53,0.7837,0.4428,2.4424,1
42,1,salaried,4.7,6110.0,1919.0,541,3,2061.0,198200.0,48,3.5,455600.0,82839.0,4,2,0.6514,4430.96,1.0625,0.3486,2.7032,0
22,0,salaried,11.9,7131.0,3141.0,803,1,737.0,344200.0,84,14.4,697300.0,2758.0,1,0,0.5438,6526.61,1.0186,0.4562,4.0223,1
44,2,retired,0.6,4142.0,1724.0,658,0,0.0,77200.0,36,9.5,0.0,5395.0,4,0,0.4162,2472.94,0.597,0.5838,1.5532,0
64,2,salaried,3.9,2284.0,685.0,761,3,1577.0,97100.0,360,14.0,0.0,18017.0,0,0,0.9904,1150.51,1.1942,0.0096,3.5428,1
50,1,self_employed,3.7,6553.0,5181.0,794,0,0.0,350900.0,12,14.2,630300.0,17269.0,3,0,0.7906,31539.33,2.0,0.2094,4.4623,1
58,0,salaried,18.2,6545.0,2256.0,736,0,0.0,373100.0,24,6.3,802400.0,35628.0,1,0,0.3447,16586.5,2.0,0.6553,4.7504,1
22,1,salaried,2.2,11637.0,6519.0,743,0,0.0,500000.0,60,12.0,871900.0,18236.0,0,0,0.5602,11122.22,0.9558,0.4398,3.5805,1
41,3,self_employed,1.3,3957.0,2575.0,561,0,0.0,234900.0,24,11.5,406800.0,8274.0,4,0,0.6507,11002.79,2.0,0.3493,4.9469,0
53,1,salaried,1.4,9290.0,3494.0,729,1,1526.0,500000.0,24,15.6,1230200.0,3101.0,0,0,0.5404,24386.1,2.0,0.4596,4.4851,1
32,3,business_owner,4.9,4797.0,1574.0,722,4,5662.0,201500.0,84,12.5,475100.0,40690.0,1,0,1.5,3611.13,1.9331,-0.5,3.5005,0
42,1,salaried,3.5,3465.0,1286.0,636,0,0.0,190100.0,360,11.9,266500.0,16756.0,0,0,0.3711,1940.77,0.5601,0.6289,4.5719,1
64,0,salaried,8.9,4755.0,2182.0,665,1,390.0,222000.0,48,11.5,398400.0,13492.0,2,0,0.5409,5791.76,1.3001,0.4591,3.8906,0
45,1,self_employed,2.8,7662.0,4428.0,443,0,0.0,262200.0,48,6.6,411500.0,10432.0,3,0,0.5779,6230.16,0.8131,0.4221,2.8517,0
47,1,freelancer,1.3,3827.0,2919.0,780,3,1013.0,125000.0,60,7.4,153300.0,24532.0,3,0,1.0274,2498.81,0.9176,-0.0274,2.7219,0
62,0,salaried,3.4,7512.0,5133.0,790,1,637.0,442100.0,12,11.2,827500.0,55704.0,0,0,0.7681,39114.79,2.0,0.2319,4.9044,1
48,0,self_employed,13.4,7465.0,5053.0,720,2,1766.0,332500.0,48,10.6,671800.0,11870.0,0,0,0.9135,8529.19,1.3791,0.0865,3.7118,1
36,0,freelancer,3.6,2924.0,1377.0,619,4,3415.0,55900.0,360,9.8,0.0,12791.0,0,0,1.5,482.32,1.3329,-0.5,1.5931,0
35,0,salaried,11.3,4630.0,2276.0,832,1,458.0,202800.0,36,9.3,252000.0,12194.0,2,0,0.5905,6477.34,1.4979,0.4095,3.6501,1
64,1,business_owner,3.3,2697.0,2292.0,810,1,608.0,20000.0,36,11.1,0.0,19853.0,0,0,1.0753,655.72,0.4686,-0.0753,0.618,1
23,5,salaried,2.5,8034.0,4870.0,630,0,0.0,157700.0,360,7.5,325300.0,8362.0,1,0,0.6062,1102.66,0.1372,0.3938,1.6358,1
